mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7531455993652344,0.021931131780610673,0.09811553955078126,0.007483536325522407,200,2,2,0.5,20,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20, 'class_weight': 'balanced_subsample'}",0.7646616541353384,0.8530075187969925,0.811969111969112,0.8517374517374517,0.8694980694980695,0.8301747612273929,0.037831256599235245,25
1.9457545280456543,0.08244861712887078,0.12742371559143068,0.010452286378516031,500,10,4,sqrt,,balanced_subsample,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced_subsample'}",0.7518796992481203,0.8500000000000001,0.825868725868726,0.8494208494208494,0.8783783783783784,0.8311095305832149,0.042968198500019275,20
2.5240155696868896,0.053859434937393896,0.19834623336791993,0.050338210091426305,800,10,1,0.5,30,balanced,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 30, 'class_weight': 'balanced'}",0.7511278195488722,0.8522556390977444,0.8111969111969113,0.8555984555984557,0.8756756756756757,0.8291709002235319,0.044289506013411535,29
0.9266759872436523,0.04969079682590245,0.08449602127075195,0.009154474341516795,300,10,2,0.5,,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': None, 'class_weight': 'balanced'}",0.762781954887218,0.8541353383458646,0.8177606177606178,0.8501930501930504,0.8745173745173745,0.8318776671408251,0.039044872554576567,14
0.8369856357574463,0.11621821014371156,0.0682744026184082,0.009833299859955553,200,10,1,sqrt,10,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced_subsample'}",0.7492481203007519,0.8477443609022556,0.8312741312741313,0.8525096525096525,0.8764478764478765,0.8314448282869336,0.04356834600492411,18
0.290912389755249,0.037759285449633875,0.05381379127502441,0.006900683778712519,100,10,2,log2,,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced'}",0.750375939849624,0.8394736842105264,0.8069498069498069,0.8540540540540541,0.8706563706563707,0.8243019711440764,0.04249765493335251,47
0.7954186916351318,0.029913496353612404,0.08427281379699707,0.008443535619009197,300,5,2,log2,5,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced'}",0.763157894736842,0.8661654135338346,0.8200772200772201,0.8532818532818534,0.8884169884169884,0.8382198740093477,0.04356839064684586,7
0.7973806381225585,0.015556949879706494,0.07319860458374024,0.002484368011751195,300,5,1,0.5,5,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 5, 'class_weight': 'balanced'}",0.7639097744360902,0.8695488721804512,0.8239382239382239,0.8583011583011584,0.8884169884169884,0.8408230034545824,0.0438100203443585,2
2.530100679397583,0.07614367226007046,0.18380241394042968,0.014892651756860158,800,5,4,sqrt,30,balanced_subsample,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced_subsample'}",0.7586466165413535,0.8481203007518797,0.8216216216216217,0.8505791505791507,0.8895752895752895,0.833708595813859,0.04334465597180949,10
2.6089560985565186,0.4000654053562897,0.16308093070983887,0.010879800437811716,800,10,1,0.2,,balanced_subsample,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': None, 'class_weight': 'balanced_subsample'}",0.7353383458646616,0.8330827067669173,0.8250965250965251,0.8486486486486488,0.8895752895752896,0.8263483031904085,0.050645214358777654,43
1.108004665374756,0.19619032481573587,0.0974431037902832,0.022535091116229984,300,10,4,sqrt,30,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': 'balanced_subsample'}",0.7541353383458647,0.8462406015037593,0.8254826254826255,0.8474903474903475,0.8787644787644787,0.8304226783174151,0.04176746115658672,22
2.5659624099731446,0.025699242671009623,0.1610569477081299,0.0035179208562505886,800,5,1,sqrt,,balanced_subsample,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced_subsample'}",0.7421052631578947,0.8518796992481202,0.8212355212355212,0.8474903474903475,0.8818532818532819,0.828912822597033,0.04747586210382182,33
0.31199145317077637,0.007773633778341011,0.04332642555236817,0.0062839906863384745,100,10,1,0.5,5,balanced_subsample,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 5, 'class_weight': 'balanced_subsample'}",0.7650375939849624,0.8597744360902255,0.8138996138996138,0.8664092664092664,0.8861003861003861,0.8382442592968908,0.04358647179260211,6
